;site;maa;mam;mmm
1;business insider;1152,878041;1038,375398;1055,710079
2;ca m'intéresse;1009,864746;978,4196587;981,9224422
3;capital;836,3301158;828,6970938;832,6524701
4;ce soir tv;378,5754947;388,6740299;373,5023609
5;cuisine actuelle;412,7135209;367,298665;376,2234897
6;femme actuelle;714,1084287;726,4289678;717,5565945
7;gala;658,1645204;667,2557459;661,8381563
8;geo;828,5889454;829,1767366;828,9103155
9;neon;1060,469633;945,9594636;949,4007116
10;télé 2 semaines;543,4954418;534,7372736;541,2138463
11;télé loisirs;871,4763479;866,5121323;875,7663774
12;voici;711,2548021;710,8868634;708,4324547
